#{"t_start": 1764568020.4978087, "env_id": "intersection-v1"}
r,l,t
-1.0,7,237.253503
-0.299923,5,237.39229
-3.447459,6,237.649429
9.0,9,238.103577
-1.0,5,238.338588
9.0,10,238.698963
1.0,13,239.437587
1.486477,13,239.93087
-1.697431,7,240.310585
9.62673,11,240.666842
6.925997,11,241.056129
5.169409,13,241.392657
5.805355,12,241.829181
-3.714449,8,242.098329
-2.449806,7,242.397904
0.0,5,242.52547
6.775051,13,243.067522
-3.448228,8,243.346581
-1.0,7,243.66941
1.0,13,244.258241
-0.57992,5,244.500051
1.643827,13,244.756094
8.306349,11,245.070302
-1.373258,7,245.33255
-0.44713,8,245.694334
0.0,6,245.938118
8.618513,10,246.318516
5.080588,13,246.889514
-1.680047,5,247.062721
7.472962,11,247.434554
8.616025,10,247.759716
0.0,5,248.011569
-2.437045,7,248.264576
-1.0,4,248.429336
-5.0,1,248.506687
9.0,10,248.747728
8.0,9,249.138091
-2.0,8,249.342691
6.846782,13,249.839161
-2.370348,5,249.966841
-2.438646,8,250.11773
-1.279234,7,250.429042
0.0,6,250.697318
6.0,13,250.970062
-2.71511,8,251.213591
-0.381164,8,251.459884
-3.0,11,251.832206
5.233443,13,252.427515
6.242361,10,252.818045
7.193374,11,253.269721
-2.318366,5,253.397802
3.613583,13,253.848142
2.483771,13,254.476796
6.0,13,254.986851
0.60626,13,255.402803
-1.680047,5,255.592903
0.0,6,255.893923
6.552816,11,256.348269
-2.0,11,256.778962
-1.96286,6,256.884906
-4.0,6,257.066101
-1.809005,10,257.366549
0.0,6,257.575001
4.217867,13,258.073668
-2.0,4,258.305464
0.0,6,258.616612
-1.0,5,258.818731
-1.0,5,259.047635
6.618567,9,259.453813
-1.0,4,259.567903
8.0,8,259.761211
4.457852,13,260.188704
0.0,6,260.375368
-2.0,5,260.575481
-2.436558,6,260.876803
-2.436558,6,261.09389
-1.0,5,261.250596
9.681208,11,262.008293
-5.0,1,262.120954
-2.373197,6,262.435763
-1.222746,6,262.640457
8.0,8,262.970976
-0.526602,9,263.309151
-0.381164,7,263.504013
5.468587,13,264.110089
-1.446814,7,264.2606
-1.0,5,264.521337
-3.821122,12,264.888743
-1.524421,8,265.219598
-1.373258,7,265.479806
-1.958347,5,265.787572
-2.0,5,265.954672
9.0,9,266.308366
5.457031,13,267.045483
0.0,6,267.262595
9.0,9,267.60271
9.0,9,267.893904
3.549477,12,268.308992
8.616025,10,268.697977
9.0,10,269.078743
0.0,6,269.291439
0.0,6,269.621897
8.615645,11,270.059175
7.0,10,270.494661
-1.747991,6,270.684264
4.086841,13,271.345174
7.29705,10,271.66099
10.0,10,272.04074
-1.666651,5,272.234307
7.46241,13,272.947675
-2.0,4,273.206115
-1.0,5,273.320747
0.0,6,273.503035
1.0,7,273.754934
10.0,10,274.033626
-1.0,7,274.280069
9.0,9,274.539692
9.615573,11,274.947312
7.615917,9,275.486017
2.0,13,275.954728
-3.316297,6,276.177074
9.0,10,276.445616
10.0,10,276.965703
0.0,6,277.313312
-1.0,5,277.579081
-1.0,5,277.819027
8.0,13,278.385398
-1.0,5,278.606282
-2.0,6,278.779986
-0.381164,7,279.018871
-5.0,1,279.104651
7.562943,10,279.417622
9.0,9,279.855941
3.089139,13,280.356608
8.616025,10,280.936866
-1.0,5,281.196326
5.153776,13,281.680355
-1.0,7,281.893872
6.633114,13,282.476251
6.867645,12,282.945091
9.0,10,283.438242
-1.0,10,283.951568
-1.373258,7,284.258797
7.457484,13,284.722376
6.299998,9,284.989358
-2.365057,6,285.206764
1.0,7,285.396621
-0.382068,6,285.673465
-0.675908,6,285.881418
-1.0,5,286.197696
-1.0,6,286.327043
6.100117,12,286.777654
-2.365057,6,286.990465
6.259894,10,287.367963
-2.0,4,287.537725
6.68121,13,287.797259
8.681208,10,288.326607
5.55018,10,288.910994
7.61852,9,289.122159
-1.680047,5,289.409934
8.562943,11,289.846362
7.61852,9,290.069727
-5.0,1,290.143028
-2.537902,9,290.284249
9.0,9,290.814957
6.617508,13,291.355945
9.0,9,291.793561
8.681208,10,292.136839
-0.841249,5,292.297014
-2.460707,8,292.67294
8.681208,10,292.951031
1.472861,13,293.305559
10.0,10,293.669019
-3.438636,8,293.944202
-2.0,4,294.138386
-1.84084,4,294.310743
-3.0,8,294.644744
9.0,9,294.984105
-1.0,5,295.100948
-3.438636,8,295.411387
-2.687862,6,295.753469
7.0,13,296.477306
1.0,13,297.14586
-2.444964,9,297.492578
-0.299923,5,297.601545
7.562943,10,297.91269
-2.848099,11,298.324207
0.0,5,298.535417
9.0,9,298.955336
7.62673,11,299.226332
-1.224867,6,299.438473
0.0,6,299.775314
0.0,6,300.028544
-2.365057,5,300.18077
6.15841,11,300.630631
-1.366575,6,300.829323
0.0,6,300.985187
7.539083,11,301.303888
9.0,9,301.669539
8.615645,10,302.164396
10.0,10,302.592992
-1.318719,6,302.805439
-4.0,2,302.908451
10.0,10,303.201134
-4.0,7,303.464705
-0.31878,7,303.688496
0.0,6,303.889366
-0.666847,6,304.160181
-1.0,5,304.434393
8.0,8,304.746639
-1.372771,6,305.009505
-1.0,5,305.200664
-1.447446,7,305.61242
