#{"t_start": 1763702262.0168269, "env_id": "Team7-v0"}
r,l,t
21.742857,33,1746.622117
14.295238,22,1749.446355
28.209524,40,1754.474806
29.03652,40,1759.571466
12.714286,20,1762.220976
14.666667,23,1765.211237
18.0,28,1768.833556
26.704762,40,1774.253009
4.438095,7,1775.180019
10.990476,16,1777.302243
29.333333,40,1782.386639
4.419048,7,1783.781664
13.142857,19,1786.468873
8.4,13,1788.177143
9.133333,14,1790.081758
12.790476,20,1792.794345
20.466667,30,1796.778769
24.666667,38,1801.925614
28.733333,40,1807.040168
10.152381,16,1809.197138
27.342857,40,1814.168481
27.72381,40,1819.090074
16.714286,25,1822.897777
12.447619,18,1825.350096
13.428571,20,1827.964269
10.990476,17,1830.232681
17.699395,25,1833.529116
8.247619,13,1835.291911
6.180952,10,1836.674113
17.590476,25,1839.928779
19.238095,28,1843.437692
10.914286,16,1845.662629
16.2,23,1848.654224
16.704762,24,1851.556542
29.223716,40,1856.793051
8.866667,13,1858.499263
28.028571,40,1863.594073
8.028571,13,1865.272845
24.714286,38,1869.837508
19.038095,28,1873.43488
5.438095,9,1874.619783
14.666667,23,1877.49544
6.190476,10,1878.810437
28.952381,40,1883.792571
2.773534,5,1884.459144
27.495238,40,1889.611027
10.242252,15,1891.466305
14.0,20,1894.095069
25.449996,36,1898.580282
16.0,25,1902.733086
14.533333,21,1905.698738
26.666667,40,1910.451083
19.866667,28,1914.201321
9.828571,15,1916.451868
5.019048,8,1917.655174
16.438095,24,1920.711632
12.2,19,1923.193079
20.428571,29,1927.024085
24.266667,34,1931.34768
16.971429,26,1934.801032
8.495238,13,1936.49852
19.742857,28,1940.183913
28.762207,40,1945.046594
28.219048,40,1950.025395
11.47619,17,1952.198547
5.67619,9,1953.426356
27.361905,40,1958.434237
7.409524,12,1960.036708
6.180952,10,1961.366573
4.314286,7,1962.286234
7.333333,12,1963.862315
16.914286,26,1967.155352
14.628571,22,1969.917728
15.142857,23,1972.763192
29.333333,40,1977.742333
4.82052,8,1978.825775
27.695238,40,1984.128167
8.247619,13,1985.84554
9.219048,14,1987.636507
27.809524,40,1992.505005
27.428571,40,1997.431807
15.904762,24,2000.564735
22.066667,31,2004.61929
28.171429,40,2009.381897
3.647619,6,2010.190212
12.761905,20,2012.778828
18.295238,26,2016.079593
12.857143,20,2018.766771
7.447619,12,2020.486363
13.647619,20,2023.317077
6.47619,10,2024.598535
13.238095,20,2027.186159
13.038095,19,2029.706476
26.761905,40,2034.782526
27.304762,40,2040.125015
10.142857,16,2042.279981
18.342857,27,2045.763157
28.07619,40,2050.632848
18.87619,27,2054.231789
10.238095,16,2056.376993
26.793077,40,2061.596453
3.670823,6,2062.417699
27.866667,40,2067.754056
28.904762,40,2072.887586
26.666667,40,2078.061342
12.419048,19,2080.429423
14.647619,21,2083.153637
2.1966,4,2083.722494
8.933333,14,2085.609922
12.904762,19,2088.090925
7.885714,12,2089.678781
22.552381,32,2093.569396
17.590476,27,2097.24364
6.666667,10,2098.581816
27.857143,40,2103.652244
28.6,40,2108.664114
25.085714,37,2113.220881
12.019371,18,2115.554873
10.304762,16,2117.628377
19.314286,29,2121.324669
5.2,8,2122.403722
28.419048,40,2127.316063
13.850087,20,2129.979821
4.333333,7,2130.899613
18.72381,29,2134.680361
20.371429,30,2138.522257
