#{"t_start": 1764374475.2067072, "env_id": "intersection-v1"}
r,l,t
9.0,9,329.621857
-1.0,5,329.893077
0.0,6,330.221454
9.0,9,330.548043
1.700002,7,331.091052
0.700013,6,331.531428
-3.316297,8,331.955435
9.0,9,332.608758
0.0,6,333.001681
9.0,9,333.408709
-2.0,4,333.698037
-1.0,5,333.961081
-1.0,5,334.374767
-1.0,7,334.877208
7.0,12,336.197757
9.0,9,336.824149
0.0,6,337.134639
9.0,9,337.679343
7.615917,9,338.459974
-1.447446,7,338.923163
-1.0,5,339.158185
9.0,9,339.499732
0.0,6,339.931144
7.681208,9,340.19617
-2.0,4,340.624524
8.616025,10,341.080908
-2.0,4,341.395829
0.0,6,341.812797
-1.372771,6,342.235139
-2.0,4,342.600991
-1.0,5,342.829777
10.0,10,343.360538
10.0,10,343.762948
9.0,9,344.34996
10.0,10,344.851328
9.0,9,345.443192
9.0,9,346.095157
-1.0,5,346.353084
0.0,6,346.843404
0.0,6,347.389688
10.0,10,347.819069
0.0,5,348.177721
9.0,9,349.150567
7.473313,11,349.942363
-1.0,5,350.250948
0.0,5,350.539703
10.0,10,351.264048
10.0,10,351.655625
-1.0,5,351.99024
0.0,6,352.241074
9.0,9,352.827007
9.0,9,353.20171
9.0,9,353.622791
8.62673,10,355.524713
-1.0,5,355.714482
9.0,9,356.431284
-1.84084,4,356.749016
-1.0,5,357.061423
-1.0,5,357.422834
9.0,9,358.019219
9.0,9,358.600093
8.615645,10,359.34547
-1.0,5,359.575311
1.0,7,359.971483
9.0,9,360.389354
0.158681,6,360.659204
7.552044,10,361.523582
9.0,9,362.273106
0.0,6,362.595247
9.0,9,363.027092
-1.0,6,363.436123
-2.318366,5,363.762071
9.0,9,364.097045
0.158681,6,364.36769
0.0,6,364.764043
0.0,5,365.274071
-1.0,5,365.76917
10.0,10,367.027649
9.0,9,367.522788
8.681208,10,368.148705
-3.0,6,368.633608
0.0,6,368.867404
10.0,10,369.894093
9.0,9,370.477505
9.0,9,371.161262
-1.379585,6,371.513098
7.538963,11,372.215748
8.0,9,372.660894
-2.0,9,373.671257
9.0,9,374.317584
9.0,9,374.880101
-1.84084,4,375.117247
9.0,9,375.756079
8.0,8,376.338222
8.0,8,376.967347
0.0,6,377.578978
9.0,9,378.046135
7.615917,9,378.728046
0.158681,6,379.175395
10.0,10,379.824366
9.0,9,380.348806
8.0,8,380.984042
-0.841249,5,381.239549
9.0,9,381.799633
0.0,6,382.1556
-0.841249,5,382.476122
8.681208,10,383.25184
9.0,9,383.881562
1.0,7,384.305983
-2.0,4,384.763417
0.0,6,385.338937
-0.299923,5,385.645665
0.0,6,386.286311
8.0,8,387.100819
10.0,10,387.603588
-1.0,5,388.107917
0.158681,6,388.737729
-0.841249,5,389.068616
8.552042,11,389.734242
-1.0,6,390.258974
7.472952,11,391.043572
7.615917,9,391.707157
1.0,7,393.306009
0.0,5,393.51336
-1.0,5,393.889755
9.0,9,394.34577
9.0,9,394.925569
9.0,9,395.708617
0.0,6,396.192164
9.0,9,396.742549
-1.0,6,397.245277
-0.299923,5,397.672749
-2.0,5,397.981687
0.0,6,398.277931
9.0,9,398.827099
0.0,6,399.39268
9.0,9,400.356364
-1.0,5,400.720691
10.0,10,401.389247
0.0,6,402.011319
0.0,5,402.193717
9.0,9,402.696977
9.0,9,403.120616
0.0,6,403.464898
9.0,9,403.951851
9.0,10,404.540327
-2.373197,6,405.159763
-0.373185,7,405.494174
-1.0,5,405.90194
0.0,6,406.444523
8.0,8,406.94798
-1.0,5,407.348808
1.0,6,407.799546
0.0,6,408.225402
0.0,6,408.644365
0.0,5,408.960257
-2.0,4,409.473449
0.0,6,409.92167
9.0,9,410.747838
0.0,6,411.205866
7.626732,9,411.722813
10.0,10,412.172183
-5.0,1,412.323148
9.0,9,412.805199
10.0,10,413.438638
10.0,10,413.78859
10.0,10,414.394497
-1.0,5,414.843061
-1.0,5,415.080329
9.0,9,415.792935
-3.0,3,415.960198
10.0,10,416.422593
-0.57992,5,416.723478
10.0,10,417.323066
10.0,10,418.227217
10.0,10,419.229384
-0.373185,7,419.762444
-0.524494,9,420.137653
-1.0,5,420.541555
0.0,5,420.969172
0.0,6,421.343687
0.0,6,421.65538
9.0,9,422.106068
-2.29738,3,422.402949
8.615645,10,423.11344
0.0,7,423.630737
0.0,6,424.007144
10.0,10,424.579764
9.0,9,425.078612
9.0,9,425.711676
-0.299923,5,426.099882
-1.0,5,426.512678
-0.57992,5,426.89583
1.0,7,427.257994
0.0,6,428.724017
10.0,10,429.542537
8.0,8,430.247203
0.0,6,430.612329
8.62673,10,431.40398
10.0,10,432.123558
8.0,8,432.79985
-1.0,5,433.171367
10.0,10,434.035672
10.0,10,434.938434
-1.379585,6,435.291065
10.0,10,435.583578
0.700013,6,436.002411
10.0,10,436.44242
10.0,10,437.274951
-1.0,5,437.596346
0.0,6,438.1202
10.0,10,438.558077
9.0,9,439.222761
9.0,9,439.695397
9.0,9,440.082225
-1.0,5,440.554403
8.0,8,441.144969
10.0,10,441.652339
7.538963,11,442.923404
9.0,9,443.661718
1.0,7,443.961828
0.700013,6,444.36961
-2.0,4,444.592165
8.0,10,445.268528
0.0,5,445.731342
10.0,10,446.24192
9.0,9,446.88338
9.0,9,447.381731
8.0,8,447.973235
10.0,10,448.56218
8.62673,10,449.045596
0.0,6,449.366186
9.0,9,449.935847
0.0,6,450.272797
-1.0,5,450.751769
